ConvId,Turn,Speaker,Utterance,Intent,Entities,Slots,Response,Context,Category
CONV-001,1,User,I need to add a bedroom,CREATE_ROOM,bedroom,RoomType=bedroom,Sure! What dimensions would you like for the bedroom?,,Create-Room
CONV-001,2,User,Make it 4 metres by 5 metres,MODIFY_DIMENSION,4 metres|5 metres,Width=4m;Length=5m,I've added a 4 m × 5 m bedroom. Where should I place it?,CONV-001-1,Create-Room
CONV-001,3,User,Put it in the north-east corner,NAVIGATE_TO_COORDINATE,north-east corner,Location=NE-corner,Done — bedroom placed in the NE corner of the plan.,CONV-001-2,Create-Room
CONV-002,1,User,Create a kitchen please,CREATE_ROOM_TYPED,kitchen,RoomType=kitchen,What size kitchen do you want?,,Create-Room
CONV-002,2,User,About 3.5 by 4,MODIFY_DIMENSION,3.5|4,Width=3.5m;Length=4m,3.5 m × 4 m kitchen created. Shall I add cabinets and appliances?,CONV-002-1,Create-Room
CONV-002,3,User,Yes add a refrigerator and oven,CREATE_APPLIANCE,refrigerator|oven,Appliance1=refrigerator;Appliance2=oven,Refrigerator and oven placed in the kitchen.,CONV-002-2,Create-Room
CONV-003,1,User,Add a master bathroom,CREATE_ROOM_TYPED,master bathroom,RoomType=master-bathroom,How large should the master bathroom be?,,Create-Room
CONV-003,2,User,12 by 10 feet,MODIFY_DIMENSION,12|10 feet,Width=12ft;Length=10ft;Unit=ft,12 × 10 ft master bathroom created. Want fixtures added?,CONV-003-1,Create-Room
CONV-003,3,User,Put in a bathtub toilet and shower,CREATE_SHOWER,bathtub|toilet|shower,Fixtures=bathtub;toilet;shower,"Bathtub, toilet, and shower placed in the master bath.",CONV-003-2,Create-Room
CONV-003,4,User,Make the shower a rain shower,MODIFY_DIMENSION,rain shower,ShowerHead=rain,Shower head upgraded to rain style.,CONV-003-3,Create-Room
CONV-004,1,User,I want a home office,CREATE_ROOM_TYPED,office,RoomType=home-office,What dimensions would you like?,,Create-Room
CONV-004,2,User,3 by 3.5 metres is fine,MODIFY_DIMENSION,3|3.5 metres,Width=3m;Length=3.5m,3 m × 3.5 m home office created. Add a desk?,CONV-004-1,Create-Room
CONV-004,3,User,Yes a desk and a bookshelf,CREATE_FURNITURE,desk|bookshelf,Furniture1=desk;Furniture2=bookshelf,Desk and bookshelf placed in the office.,CONV-004-2,Create-Room
CONV-005,1,User,Add a garage for two cars,CREATE_ROOM_TYPED,garage,RoomType=garage,Standard two-car garage is about 6 m × 6 m. Use that?,,Create-Room
CONV-005,2,User,Yes that works,CONFIRM,,,6 m × 6 m two-car garage added to the plan.,CONV-005-1,Create-Room
CONV-005,3,User,Put it on the west side,NAVIGATE_TO_COORDINATE,west side,Location=West,Garage repositioned to the west side.,CONV-005-2,Create-Room
CONV-006,1,User,Create a living room,CREATE_ROOM_TYPED,living room,RoomType=living-room,What size living room?,,Create-Room
CONV-006,2,User,5 by 7,MODIFY_DIMENSION,5|7,Width=5m;Length=7m,5 m × 7 m living room created. Add furniture?,CONV-006-1,Create-Room
CONV-006,3,User,Add a sofa and coffee table,CREATE_FURNITURE,sofa|coffee table,Furniture1=sofa;Furniture2=coffee-table,Sofa and coffee table placed.,CONV-006-2,Create-Room
CONV-007,1,User,I need a powder room,CREATE_ROOM_TYPED,powder room,RoomType=powder-room,A standard powder room is about 1.5 m × 2 m. Proceed?,,Create-Room
CONV-007,2,User,Make it a bit bigger — 2 by 2.5,MODIFY_DIMENSION,2|2.5,Width=2m;Length=2.5m,2 m × 2.5 m powder room created. Add toilet and sink?,CONV-007-1,Create-Room
CONV-007,3,User,Yes,CONFIRM,,,Toilet and half-bath sink added.,CONV-007-2,Create-Room
CONV-008,1,User,Add a laundry room,CREATE_ROOM_TYPED,laundry,RoomType=laundry,Standard laundry is about 2 m × 3 m. OK?,,Create-Room
CONV-008,2,User,That's fine,CONFIRM,,,2 m × 3 m laundry room created. Add washer and dryer?,CONV-008-1,Create-Room
CONV-008,3,User,Please,CONFIRM,,,Washer and dryer placed in the laundry room.,CONV-008-2,Create-Room
CONV-009,1,User,Make a dining room next to the kitchen,CREATE_ROOM_TYPED,dining room,RoomType=dining-room,What size dining room?,,Create-Room
CONV-009,2,User,4 by 4.5,MODIFY_DIMENSION,4|4.5,Width=4m;Length=4.5m,4 m × 4.5 m dining room placed adjacent to the kitchen. Add a table?,CONV-009-1,Create-Room
CONV-009,3,User,Add a dining table for six,CREATE_FURNITURE,dining table,Furniture=dining-table;Seats=6,Six-seat dining table added.,CONV-009-2,Create-Room
CONV-010,1,User,I want a playroom for the kids,CREATE_ROOM_TYPED,playroom,RoomType=playroom,Recommended minimum is 3 m × 3 m. Size?,,Create-Room
CONV-010,2,User,3.5 by 4 please,MODIFY_DIMENSION,3.5|4,Width=3.5m;Length=4m,3.5 m × 4 m playroom created.,CONV-010-1,Create-Room
CONV-011,1,User,Add a storage closet,CREATE_ROOM_TYPED,closet,RoomType=closet,How big should the closet be?,,Create-Room
CONV-011,2,User,About 1 by 1.5,MODIFY_DIMENSION,1|1.5,Width=1m;Length=1.5m,1 m × 1.5 m storage closet created.,CONV-011-1,Create-Room
CONV-012,1,User,Put a foyer at the entrance,CREATE_ROOM_TYPED,foyer,RoomType=foyer,Standard foyer is about 2 m × 2.5 m. Dimensions?,,Create-Room
CONV-012,2,User,2 by 3 is better,MODIFY_DIMENSION,2|3,Width=2m;Length=3m,2 m × 3 m foyer placed at the building entrance.,CONV-012-1,Create-Room
CONV-013,1,User,Add a W12 column at grid B3,CREATE_COLUMN,W12 column|grid B3,ColumnType=W12;Location=B3,W12 column placed at B3. What height?,,Create-Structural
CONV-013,2,User,Floor to floor 3.5 metres,MODIFY_DIMENSION,3.5 metres,Height=3.5m,Column height set to 3.5 m at B3.,CONV-013-1,Create-Structural
CONV-014,1,User,I need a steel beam from B2 to B3,CREATE_BEAM,steel beam|B2|B3,BeamType=steel;Start=B2;End=B3,What depth beam do you need?,,Create-Structural
CONV-014,2,User,W14 should work,MODIFY_DIMENSION,W14,BeamSize=W14,W14 steel beam placed from B2 to B3.,CONV-014-1,Create-Structural
CONV-015,1,User,Add a bolted shear tab at the B2-B3 joint,CREATE_CONNECTION,bolted shear tab|B2-B3,ConnType=shear-tab;Joint=B2-B3,How many bolts?,,Create-Structural
CONV-015,2,User,5 bolt pattern,MODIFY_DIMENSION,5 bolt,Bolts=5,5-bolt shear tab connection placed at B2-B3.,CONV-015-1,Create-Structural
CONV-016,1,User,Create a base plate under column C1,CREATE_BASE_PLATE,base plate|column C1,Element=column-C1,How many anchor bolts?,,Create-Structural
CONV-016,2,User,4 anchors for a pinned base,MODIFY_DIMENSION,4 anchors|pinned,Anchors=4;Type=pinned,4-bolt pinned base plate created under C1.,CONV-016-1,Create-Structural
CONV-017,1,User,I want joist hangers for the second floor,CREATE_CONNECTION,joist hangers|second floor,ConnType=joist-hanger;Level=2,What joist size?,,Create-Structural
CONV-017,2,User,2x10 joists,MODIFY_DIMENSION,2x10,JoistSize=2x10,2×10 joist hangers placed on all joists at level 2.,CONV-017-1,Create-Structural
CONV-018,1,User,Put in hurricane ties at the roof,CREATE_CONNECTION,hurricane ties|roof,ConnType=hurricane-tie;Location=roof,Rafter-to-plate or truss-to-plate?,,Create-Structural
