LessonId,ProjectId,LessonTitle,Category,ProblemStatement,RootCause,ActionTaken,Outcome,CostImpact,ApplicableTo,RelatedCode,RelatedMaterial,RelatedFormula,RelatedAssembly,AIIntentTriggered,Transferability
LL-001,CS-RES-001,Passive-Solar Orientation Saves 18% Heating,Envelope,Initial layout ignored solar gain; heating bills 18% above benchmark,Floor plan oriented for street access rather than solar azimuth,Re-oriented living areas south; added 6-inch south overhang calculated for 40° latitude,Heating energy dropped 18%; occupant comfort improved in winter months,Saved-18%,Residential|Single-Family|High-Performance,DR-IBC-014,,FL-HEAT-LOSS,ASSY-EXT-002,CREATE_ROOM|MODIFY_DIMENSION|QUERY_ENERGY_EFFICIENCY,High
LL-002,CS-RES-001,Hurricane Ties Specified Before Framing Inspection,Connection,Hurricane ties omitted from initial framing spec in 130-mph wind zone,Supplier quote omitted ties; spec writer did not cross-check wind zone,Added H4 hurricane ties at every rafter during framing; quantity via CD-WOD-HGTRN-QTY,Passed wind-zone inspection first attempt; no re-frame cost,Neutral,Residential|Hurricane-Zone|Coastal,STL-IBC-1705.3,CON-WOD-011,CD-WOD-HGTRN-QTY,,CREATE_CONNECTION|QUERY_CAPACITY,High
LL-003,CS-RES-001,Shallow-Clay Foundation Required Geotechnical Input,Structural,Initial strip footing failed geotechnical bearing-capacity test on clay soil,Architect assumed standard soil without site-specific report,Commissioned geo report; switched to engineered geo-grid footings at 450mm depth,Foundation passed load test; no settlement after 12 months,Added-12%,Residential|Any-Foundation,DR-IBC-007,,CD-FND-ANCHOR-SPG,,CREATE_FOUNDATION|QUERY_CAPACITY,High
LL-004,CS-RES-002,Party-Wall STC 55 Requires Insulated Plasterboard,Acoustics,Party wall achieved only STC 48 with 215mm brick alone; neighbour complaints followed,Assumed brick mass alone would satisfy STC 55; no acoustic calculation at design stage,Added 100mm insulated plasterboard lining with resilient clips; verified via FL-STC-CHECK,Achieved STC 55 measured; no further complaints,Added-8%,Residential|Townhouse|Semi-Detached|Terrace,FL-IBC-420.2,,FL-STC-CHECK,ASSY-INT-005,CREATE_WALL|MODIFY_ACOUSTIC_RATING|QUERY_SOUND_RATING,High
LL-005,CS-RES-002,Narrow Frontage Forces Efficient Staircase Layout,Structural,Standard U-stair would not fit in 4.2m-wide townhouse footprint,Template stair layout copied from wider plot; dimensions not re-checked,Switched to L-stair with 810mm flight width; confirmed egress compliance,Stair fits within footprint; meets minimum 810mm flight width code,Saved-5%,Residential|Townhouse|Narrow-Plot,DR-IBC-010,,,,CREATE_STAIRCASE|MODIFY_DIMENSION,Medium
LL-006,CS-RES-002,Zero-Lot Boundary Needs Early Surveyor Input,Code-Compliance,Party wall position was 30mm off surveyed boundary; required re-build of 6m section,Builder set wall from architectural drawing without independent survey check,Engaged surveyor at foundation stage; all walls set from survey pegs,Zero boundary-encroachment issues; legal sign-off without delay,Saved-9%,Residential|Townhouse|Zero-Lot|Party-Wall,DR-IBC-001,,,,CREATE_WALL|QUERY_CODE_COMPLIANCE,High
LL-007,CS-RES-003,Pocket Doors Essential for ADA Clearance in Small Rooms,Accessibility,Standard swing doors ate 900mm clear zone in 2.5m-wide hallways; ADA failed,Door schedule defaulted to hinged; clearance not modelled in plan,Replaced 6 interior doors with pocket doors; confirmed via PL-ADA-WC clearance check,Full ADA passing grade; wheelchair path clear in every room,Added-6%,Residential|Accessible|Healthcare|Institutional,FL-ADA-302.1|FL-ADA-303.2,,PL-ADA-WC,,CREATE_DOOR_TYPED|QUERY_ACCESSIBILITY,High
LL-008,CS-RES-003,Roll-In Shower Requires Blocking at Framing,Plumbing,Grab-bar backing plate missed behind shower wall; required wall demolition post-finish,Blocking schedule was not distributed to framing crew,Added explicit blocking drawing at framing; verified in inspection before drywall,Zero rework; grab bars installed at fit-out with no demolition,Saved-15%,Residential|Accessible|Healthcare,PL-ADA-608.1|PL-ADA-608.2,,PL-ADA-SHWR,,CREATE_SHOWER|MODIFY_DIMENSION,High
LL-009,CS-RES-003,Single-Storey Layout Mandates Wider Corridors Early,Accessibility,1.2m corridor too narrow for future wheelchair; retrofit would require re-framing,Corridor width set at industry minimum before accessibility brief was issued,Widened all corridors to 1.8m at framing; adjusted room sizes proportionally,ADA accessible throughout; future-proof for mobility aids,Added-4%,Residential|Accessible|Ageing-In-Place,FL-ADA-302.2,,,,MODIFY_WIDTH|QUERY_ACCESSIBILITY,High
LL-010,CS-RES-004,Airtightness Test Must Run at Framing — Not After Drywall,Envelope,Blower-door test post-drywall showed 3.2 ACH50; target was <1.0,Foam-sealing deferred to after drywall; penetrations already buried,Ran intermediate blower-door at framing; sealed all penetrations before insulation,Final test achieved 0.7 ACH50; passed Passive House threshold,Saved-22%,Residential|High-Performance|Passive-House|Net-Zero,FL-ASHRAE-90.1-C,,FL-RVALUE,ASSY-EXT-004,CREATE_WALL|MODIFY_INSULATION|QUERY_R_VALUE,High
