ProjectId,ProjectName,Category,SubCategory,Region,Year,FloorArea_M2,Stories,StructureType,FoundationType,WallSystems,RoofType,KeyFeatures,Codes_Applied,Challenges,Solutions,CostPerM2_USD,SustainabilityRating,AIIntents_Used,AIEntities_Used,Description
CS-RES-001,Lakeside Family Residence,Residential,Single-Family,USA,2022,320,2,Wood-Frame,Strip-Foundation,Exterior Wood 2x6 R-20|Interior 2x4 R-13,Pitched Gable 7:12,Open-plan living|Passive solar orientation|Radiant floor heating,IRC 2021|IBC 2021|IECC 2021,Shallow clay soil required engineered foundation|Wind zone 130 mph,Engineered geo-grid footings|Hurricane ties H4 at every rafter,285,Green-Star-3,CREATE_ROOM|CREATE_WALL|CREATE_CONNECTION|QUERY_R_VALUE|MODIFY_INSULATION,living room|bedroom|exterior wall|hurricane tie|R-value,Two-storey wood-frame family home with passive-solar layout and radiant-floor heating in a lakeside setting.
CS-RES-002,Urban Townhouse,Residential,Townhouse,UK,2023,180,3,Masonry,Concrete-Strip,Exterior Brick|Party Wall STC-55|Interior Plasterboard,Pitched Hip 6:12,Party-wall agreement|Roof-terrace level 3|Underfloor heating,Building Regs 2021|BS 8103|EN 1992,Party-wall STC target 55|Narrow 4.2m frontage|Zero-lot boundary,Upgraded party wall to 215mm brick + 100mm insulated plasterboard|Efficient staircase layout,420,EPC-B,CREATE_WALL|MODIFY_ACOUSTIC_RATING|CREATE_STAIRCASE|QUERY_SOUND_RATING,party wall|STC|staircase|masonry,Three-storey urban townhouse with party-wall STC-55 and roof terrace in a zero-lot street.
CS-RES-003,Accessible Single-Storey Bungalow,Residential,Accessible,USA,2021,210,1,Wood-Frame,Slab-on-Grade,Exterior 2x6 R-20|Interior 2x4 R-13,Flat Low-Slope 2:12,ADA-compliant throughout|Zero-threshold doors|Roll-in shower|Wider corridors 1.8m,ADA 2010|IRC 2021|Fair Housing Act,All rooms on one level|Zero-step entry|Grab bars structural backing,Blocking installed in all wet walls at framing|Pocket doors at every room,310,Green-Star-3,CREATE_DOOR_TYPED|QUERY_ACCESSIBILITY|CREATE_SHOWER|MODIFY_WIDTH,pocket door|ADA|shower|accessibility|hallway,Single-storey ADA-accessible bungalow with roll-in shower and zero-threshold entries throughout.
CS-RES-004,Net-Zero Energy House,Residential,High-Performance,USA,2023,260,2,Wood-Frame,Slab-on-Grade-Insulated,Exterior SIPs R-36|Interior 2x4 R-15,Pitched Gable 8:12 Metal,PV array 12.5 kW|Triple-glaze windows|ERV ventilation|Air-tight envelope <1 ACH50,IECC 2021|IRC 2021|CA Title 24,Achieving <1 ACH50 airtight target|Thermal bridging at SIPs splines,Blower-door test at framing; foam-seal all penetrations|Timber-spline SIPs joints,380,Living-Building-Petals-3,CREATE_WINDOW_TYPED|MODIFY_INSULATION|QUERY_R_VALUE|QUERY_ENERGY_EFFICIENCY,triple-glaze|SIPs|R-value|insulation|energy efficiency,Net-zero carbon residence with SIPs envelope achieving sub-1 ACH50 airtightness and 12.5 kW PV.
CS-RES-005,Coastal Hurricane-Resistant Villa,Residential,Hurricane-Zone,USA,2022,400,2,Steel-Frame,Pile-Foundation,Exterior Steel Panels|Impact-Resistant Windows|Interior Steel Studs,Hip Roof 5:12 Metal,Impact-rated glazing Cat-5|Steel moment frames|Elevated structure 2.4m,FBC 2020|ASCE 7-22|FEMA guidelines,150 mph wind zone|Storm-surge flood risk|Coastal salt-air corrosion,Pile foundation 1.8m embedment|Welded moment frames at all corners|Marine-grade coatings,620,LEED-Gold,CREATE_CONNECTION|CREATE_FOUNDATION|MODIFY_WINDOW_GLAZING|QUERY_WIND_LOAD,moment frame|pile foundation|impact-rated glazing|wind load|hurricane tie,Elevated steel-frame coastal villa engineered for Cat-5 hurricanes with impact-rated glazing and pile foundation.
CS-RES-006,Timber Barn Conversion,Residential,Conversion,UK,2022,240,2,Timber-Frame,Existing-Stone,Original Timber Frame|New Insulated Panels|Glass Partition Walls,Existing Slate Pitched 6:12,Exposed timber vaults|Mezzanine gallery|Underfloor heating|Skylights × 6,Building Regs 2021|Listed Building Consent|Party Wall Act,Preserving Grade-II listed structure|Thermal upgrade without altering character,Slim internal insulation panels (50mm PIR)|Skylights inserted in new dormers,350,EPC-C,CREATE_SKYLIGHT|MODIFY_MATERIAL|QUERY_FIRE_RATING|CREATE_WINDOW_TYPED,skylight|timber|insulation|listed building|slate roof,Sympathetic conversion of a Grade-II listed timber barn into a two-level residence with mezzanine gallery.
CS-RES-007,Earthquake-Resistant House,Residential,Seismic,USA,2023,280,2,Wood-Frame,Reinforced-Concrete-Perimeter,Exterior 2x6|Shear Walls Plywood|Interior 2x4,Pitched Gable 6:12,Shear-wall panels all perimeter|Hold-downs HD15 at corners|Base isolation dampers,IBC 2021|ASCE 7-22|CBC 2022|UBC,Zone 4 seismic region|Soft-soil amplification|Irregular floor plan,Plywood shear panels on all exterior walls|HD15 hold-downs every 1.8m|Engineered soil report,340,Green-Star-2,CREATE_CONNECTION|CREATE_WALL|QUERY_CAPACITY|MODIFY_MATERIAL,shear wall|hold down|HD15|seismic zone|reinforcement,Seismic-Zone-4 wood-frame residence with full-perimeter plywood shear walls and HD15 hold-downs.
CS-RES-008,Basement Waterproofing Retrofit,Residential,Retrofit,USA,2021,150,1,Wood-Frame,Existing-Concrete-Block,Existing Block Wall|Liquid WP Inner|Drain Board|Dimple Mat,N/A-No-Roof-Change,Full basement waterproofing|Sump system|French drain perimeter|Dehumidifier,IBC 2021|IRC P603|ASTM D4946,Active water intrusion through cracks|Hydrostatic pressure on block walls,Crack injection + 30-mil polyurethane membrane + HDPE dimple mat + interior French drain,180,N/A,CREATE_WATERPROOFING|QUERY_WATERPROOFING_REQ|MODIFY_MATERIAL,liquid membrane|polyurethane|drain board|dimple mat|waterproofing,"Full-perimeter basement waterproofing retrofit using liquid membrane, dimple mat, and French drain system."
CS-RES-009,Passive House Villa,Residential,Passive-House,Germany,2023,300,2,Timber-Frame,Strip-Foundation,Exterior SIPS R-40|Triple Glaze|Minimal Thermal Bridges,Flat Green Roof 0:12,U-value 0.10 W/m²K envelope|PHPP certified|HRV 90% efficiency|Rainwater harvesting,PHPP|EnEV|DIN 4108|Building Permit Bavaria,Zero-thermal-bridge detailing|Airtight at <0.6 ACH50|Flat-roof green load,Continuous vapour barrier at every joint|Triple-seal window installation detail|Green roof ballast engineering,420,Passive-House-Certified,CREATE_WINDOW_TYPED|MODIFY_INSULATION|QUERY_R_VALUE|CREATE_ROOF,triple-glaze|R-value|insulation|green roof|thermal conductivity,"PHPP-certified Passive House with U-value 0.10 envelope, HRV, and extensive green roof."
CS-RES-010,Loft Conversion with Dormers,Residential,Conversion,UK,2022,50,1,Timber-Rafter,Existing-Timber,New Dormer Walls|Insulated Rafter|Velux Skylights,Existing Pitched 7:12 + Dormers,Two shed dormers|Three Velux skylights|Ensuite bathroom|Hip-rafter engineering,Building Regs 2021|CDM 2015|Fire Safety,Existing 6x6 rafters undersized for insulation|Egress window sizing|Fire separation to stair,New 2x10 rafters at 400mm spacing|Dormer windows to 1.8m² minimum|Fire-rated door to stair,480,EPC-D,CREATE_SKYLIGHT|CREATE_WINDOW_TYPED|CREATE_FLASHING|QUERY_FIRE_RATING,skylight|dormer|step flashing|fire door|fire rating,"Full loft conversion with two shed dormers, Velux skylights, and fire-rated stair separation."
