FormulaId,Name,Expression,Description,Category,Unit,InputParameters,OutputType
CD-STL-BOLT-SHR,Bolt Group Shear Strength,{N_Bolts} * {Fnv} * {Ab},Nominal shear capacity of bolt group (Rn = N × Fnv × Ab),Steel-Connection,kN,N_Bolts:Fnv(MPa):Ab(mm²),Force
CD-STL-BOLT-BRG,Bolt Bearing Strength,"MIN({N_Bolts} * 2.4 * {d} * {t} * {Fu}, {N_Bolts} * 1.2 * {Lc} * {t} * {Fu})",Lesser of bearing and tear-out controls,Steel-Connection,kN,N_Bolts:d(mm):t(mm):Fu(MPa):Lc(mm),Force
CD-STL-BOLT-AREA,Bolt Cross-Section Area,3.14159 * ({d} / 2) ^ 2,Nominal cross-sectional area of bolt from diameter,Steel-Connection,mm²,d(mm),Area
CD-STL-BOLT-SPG,Bolt Spacing Check,"IF({Spacing} >= 2.67 * {BoltDia}, PASS, FAIL)",AISC J3.2 minimum spacing compliance,Steel-Connection,pass/fail,Spacing(mm):BoltDia(mm),Status
CD-STL-BOLT-EDG,Bolt Edge Distance Check,"IF({EdgeDist} >= 1.5 * {BoltDia}, PASS, FAIL)",AISC J3.3 minimum edge-distance compliance,Steel-Connection,pass/fail,EdgeDist(mm):BoltDia(mm),Status
CD-STL-WELD-THR,Fillet Weld Effective Throat,0.707 * {FilletLeg},Effective throat of equal-leg fillet weld,Steel-Connection,mm,FilletLeg(mm),Length
CD-STL-WELD-CAP,Fillet Weld Linear Capacity,{Throat} * {Fexx} * 0.6,Weld metal shear capacity per unit length (Rn/L),Steel-Connection,kN/mm,Throat(mm):Fexx(MPa),Force-per-Length
CD-STL-WELD-LEN,Required Weld Length,CEIL({Vu} / ({Throat} * {Fexx} * 0.6)),Minimum total weld length required for shear demand,Steel-Connection,mm,Vu(kN):Throat(mm):Fexx(MPa),Length
CD-STL-BP-AREA,Base Plate Required Area,CEIL({ColLoad} / {Fp}),Min base plate area = column load / allowable bearing,Steel-Connection,mm²,ColLoad(kN):Fp(MPa),Area
CD-STL-BP-THICK,Base Plate Thickness,CEIL({n} * SQRT(2 * {Pu} / ({0.9} * {Fy} * {BParea}))),AISC Design Guide 1 base plate thickness,Steel-Connection,mm,n(mm):Pu(kN):Fy(MPa):BParea(mm²),Length
