MaterialId,Name,Category,SubCategory,ThermalConductivity,Density,UnitCost,Currency,FireRating,Region
CON-STL-001,Shear Tab W8 Beam to W10 Col 4-Bolt,Steel-Connection,Beam-Col-Bolted,50,7850,85,USD,2hr,International
CON-STL-002,Shear Tab W10 Beam to W12 Col 5-Bolt,Steel-Connection,Beam-Col-Bolted,50,7850,105,USD,2hr,International
CON-STL-003,Shear Tab W12 Beam to W14 Col 6-Bolt,Steel-Connection,Beam-Col-Bolted,50,7850,128,USD,2hr,International
CON-STL-004,Shear Tab W14 Beam to W14 Col 7-Bolt,Steel-Connection,Beam-Col-Bolted,50,7850,148,USD,2hr,International
CON-STL-005,Clip Angle Pair W8 Beam to W10 Col 3-Bolt,Steel-Connection,Beam-Col-Bolted,50,7850,95,USD,2hr,International
CON-STL-006,Clip Angle Pair W10 Beam to W12 Col 4-Bolt,Steel-Connection,Beam-Col-Bolted,50,7850,118,USD,2hr,International
CON-STL-007,Clip Angle Pair W12 Beam to W14 Col 5-Bolt,Steel-Connection,Beam-Col-Bolted,50,7850,142,USD,2hr,International
CON-STL-008,Seat Angle W8 Beam to W10 Col 2-Bolt,Steel-Connection,Beam-Col-Bolted,50,7850,72,USD,2hr,International
CON-STL-009,Seat Angle W10 Beam to W12 Col 3-Bolt,Steel-Connection,Beam-Col-Bolted,50,7850,88,USD,2hr,International
CON-STL-010,Bolted End-Plate W8 Beam to W10 Col 4-Bolt,Steel-Connection,Beam-Col-Bolted,50,7850,155,USD,2hr,International
CON-STL-011,Bolted End-Plate W12 Beam to W14 Col 8-Bolt,Steel-Connection,Beam-Col-Bolted,50,7850,280,USD,2hr,International
CON-STL-012,Bolted End-Plate W14 Beam to W14 Col 12-Bolt,Steel-Connection,Beam-Col-Bolted,50,7850,385,USD,2hr,International
CON-STL-013,Welded Shear Tab W8 Beam to W10 Col Fillet,Steel-Connection,Beam-Col-Welded,50,7850,110,USD,2hr,International
CON-STL-014,Welded Shear Tab W12 Beam to W14 Col Fillet,Steel-Connection,Beam-Col-Welded,50,7850,145,USD,2hr,International
CON-STL-015,Welded Moment Frame W12 Beam to W14 Col,Steel-Connection,Beam-Col-Welded,50,7850,620,USD,2hr,International
CON-STL-016,Welded Moment Frame W14 Beam to W14 Col,Steel-Connection,Beam-Col-Welded,50,7850,780,USD,2hr,International
CON-STL-017,Welded Moment Frame W18 Beam to W14 Col,Steel-Connection,Beam-Col-Welded,50,7850,950,USD,2hr,International
CON-STL-018,Welded Stiffener Pair W10 Col Flange,Steel-Connection,Beam-Col-Welded,50,7850,180,USD,2hr,International
CON-STL-019,Welded Stiffener Pair W14 Col Flange,Steel-Connection,Beam-Col-Welded,50,7850,240,USD,2hr,International
CON-STL-020,Welded Bearing Stiffener W18 Beam,Steel-Connection,Beam-Col-Welded,50,7850,195,USD,2hr,International
CON-STL-021,Framing Beam Shear Tab W8 to W12 4-Bolt,Steel-Connection,Beam-Beam,50,7850,92,USD,2hr,International
CON-STL-022,Framing Beam Shear Tab W10 to W14 5-Bolt,Steel-Connection,Beam-Beam,50,7850,115,USD,2hr,International
CON-STL-023,Framing Beam Clip Angle W8 to W12 3-Bolt,Steel-Connection,Beam-Beam,50,7850,98,USD,2hr,International
CON-STL-024,Coped Beam Seat W8 on W12 Welded,Steel-Connection,Beam-Beam,50,7850,125,USD,2hr,International
CON-STL-025,Splice Plate Top/Bot W12 Beam 6-Bolt,Steel-Connection,Beam-Beam,50,7850,220,USD,2hr,International
CON-STL-026,Splice Plate Full-Moment W14 Beam 10-Bolt,Steel-Connection,Beam-Beam,50,7850,380,USD,2hr,International
CON-STL-027,Base Plate 12x12 W8 Col 4-Anchor Pinned,Steel-Connection,Base-Plate,50,7850,145,USD,2hr,International
CON-STL-028,Base Plate 18x18 W10 Col 4-Anchor Pinned,Steel-Connection,Base-Plate,50,7850,210,USD,2hr,International
CON-STL-029,Base Plate 20x20 W12 Col 4-Anchor Fixed,Steel-Connection,Base-Plate,50,7850,320,USD,2hr,International
CON-STL-030,Base Plate 24x24 W14 Col 8-Anchor Fixed,Steel-Connection,Base-Plate,50,7850,485,USD,2hr,International
CON-STL-031,Base Plate 30x30 W14 Col 12-Anchor Fixed,Steel-Connection,Base-Plate,50,7850,680,USD,2hr,International
CON-STL-032,Base Plate 36x36 W18 Col 16-Anchor Fixed,Steel-Connection,Base-Plate,50,7850,920,USD,2hr,International
CON-STL-033,Anchor Bolt 3/4in Diameter x 18in L7-72,Steel-Connection,Anchor-Bolt,50,7850,12,USD,2hr,International
CON-STL-034,Anchor Bolt 1in Diameter x 24in L7-72,Steel-Connection,Anchor-Bolt,50,7850,22,USD,2hr,International
CON-STL-035,Anchor Bolt 1-1/4in Diameter x 30in L7-72,Steel-Connection,Anchor-Bolt,50,7850,35,USD,2hr,International
CON-STL-036,Headed Stud Anchor 3/4in Dia x 12in A108,Steel-Connection,Anchor-Bolt,50,7850,8,USD,2hr,International
CON-STL-037,High-Strength Bolt A325 3/4in Diameter,Steel-Connection,Bolt-Hardware,50,7850,2.8,USD,2hr,International
CON-STL-038,High-Strength Bolt A325 7/8in Diameter,Steel-Connection,Bolt-Hardware,50,7850,4.5,USD,2hr,International
CON-STL-039,High-Strength Bolt A490 3/4in Diameter,Steel-Connection,Bolt-Hardware,50,7850,3.9,USD,2hr,International
CON-STL-040,High-Strength Bolt A490 1in Diameter,Steel-Connection,Bolt-Hardware,50,7850,7.2,USD,2hr,International
CON-STL-041,Gusset Plate Bracing Connection 12in x 12in,Steel-Connection,Gusset-Plate,50,7850,95,USD,2hr,International
CON-STL-042,Gusset Plate Bracing Connection 18in x 18in,Steel-Connection,Gusset-Plate,50,7850,165,USD,2hr,International
CON-WOD-001,Joist Hanger 2x8 Single Galvanised,Wood-Connection,Joist-Hanger,0.45,7850,3.2,USD,1hr,International
CON-WOD-002,Joist Hanger 2x10 Single Galvanised,Wood-Connection,Joist-Hanger,0.45,7850,3.5,USD,1hr,International
CON-WOD-003,Joist Hanger 2x12 Single Galvanised,Wood-Connection,Joist-Hanger,0.45,7850,3.8,USD,1hr,International
CON-WOD-004,Joist Hanger 2x8 Double Galvanised,Wood-Connection,Joist-Hanger,0.45,7850,5.4,USD,1hr,International
CON-WOD-005,Joist Hanger 2x10 Double Galvanised,Wood-Connection,Joist-Hanger,0.45,7850,5.8,USD,1hr,International
CON-WOD-006,Joist Hanger 2x12 Double Galvanised,Wood-Connection,Joist-Hanger,0.45,7850,6.2,USD,1hr,International
CON-WOD-007,Joist Hanger LVL 1-3/4x11-7/8 Single,Wood-Connection,Joist-Hanger,0.45,7850,5.5,USD,1hr,International
CON-WOD-008,Joist Hanger LVL 3-1/2x14 Double,Wood-Connection,Joist-Hanger,0.45,7850,8.8,USD,1hr,International
CON-WOD-009,Joist Hanger I-Joist 14in Single,Wood-Connection,Joist-Hanger,0.45,7850,4.8,USD,1hr,International
CON-WOD-010,Joist Hanger I-Joist 16in Single,Wood-Connection,Joist-Hanger,0.45,7850,5.2,USD,1hr,International
CON-WOD-011,Hurricane Tie Rafter-to-Plate Single,Wood-Connection,Hurricane-Tie,0.45,7850,1.85,USD,1hr,International
