RuleID,Category,Rule,Severity,Standard,Description,ValidationFormula,MinValue,MaxValue,Unit,ApplicableCategories
DR001,Egress,Bedroom must have window min 0.5m²,Critical,IBC,Emergency egress requirement for bedrooms,Window_Area >= 0.5,0.5,,m²,Bedrooms
DR002,Ventilation,Bathroom requires exhaust fan,Required,ASHRAE,Bathroom ventilation for moisture and odor control,Has_Exhaust_Fan == True,,,Boolean,Bathrooms
DR003,Lighting,Living areas need 300 lux minimum,Recommended,CIBSE,Adequate lighting for living spaces,Lighting_Level >= 300,300,,lux,Living Areas
DR004,Accessibility,Doors min 900mm clear width,Required,ADA,Wheelchair accessibility standard,Door_Clear_Width >= 900,900,,mm,All Doors
DR005,Circulation,Hallway minimum width 1000mm,Required,IBC,Safe circulation width,Hallway_Width >= 1000,1000,,mm,Hallways
DR006,Safety,Kitchen exhaust required,Critical,IBC,Fire safety and ventilation,Has_Kitchen_Exhaust == True,,,Boolean,Kitchens
DR007,Plumbing,Bathrooms need proper drainage,Critical,UPC,Plumbing code compliance,Has_Floor_Drain == True,,,Boolean,Wet Rooms
DR008,Structure,Floor load capacity min 2.0 kPa,Critical,IBC,Structural safety for residential,Floor_Load_Capacity >= 2.0,2.0,,kPa,All Floors
DR009,Energy,Exterior walls R-value min 3.5,Recommended,ASHRAE 90.1,Thermal insulation requirement,Wall_R_Value >= 3.5,3.5,,m²K/W,Exterior Walls
DR010,Safety,Stair riser max 200mm,Required,IBC,Safe stair design,Stair_Riser_Height <= 200,,200,mm,Stairs
DR011,Safety,Stair tread min 250mm,Required,IBC,Safe stair design,Stair_Tread_Depth >= 250,250,,mm,Stairs
DR012,Accessibility,Ramps max slope 1:12,Required,ADA,Wheelchair ramp accessibility,Ramp_Slope <= 0.0833,,0.0833,ratio,Ramps
DR013,Plumbing,Hot water temp max 49°C,Required,UPC,Scalding prevention,Hot_Water_Temp <= 49,,49,°C,Hot Water Systems
DR014,Electrical,Outlets spacing max 3.6m,Recommended,NEC,Adequate power access,Outlet_Spacing <= 3.6,,3.6,m,All Rooms
DR015,Lighting,Emergency lighting required,Critical,IBC,Life safety requirement,Has_Emergency_Lighting == True,,,Boolean,Egress Paths
DR016,Fire,Fire-rated walls between units,Critical,IBC,Fire compartmentation,Wall_Fire_Rating >= 60,60,,minutes,Party Walls
DR017,Acoustic,Bedroom walls STC 50 min,Recommended,IBC,Sound privacy,Wall_STC_Rating >= 50,50,,STC,Bedroom Walls
DR018,Ventilation,Natural ventilation 5% floor area,Recommended,IBC,Air quality through windows,Window_Area >= Floor_Area * 0.05,0.05,,ratio,Habitable Rooms
DR019,Ceiling,Habitable rooms min 2.4m height,Required,IBC,Minimum ceiling height,Ceiling_Height >= 2.4,2.4,,m,Habitable Rooms
DR020,Ceiling,Bathrooms min 2.3m height,Required,IBC,Minimum ceiling height,Ceiling_Height >= 2.3,2.3,,m,Bathrooms
DR021,Safety,Guard rails min 1.07m height,Critical,IBC,Fall protection,Guard_Rail_Height >= 1.07,1.07,,m,Balconies/Decks
DR022,Window,Glazing max U-value 1.8,Recommended,ASHRAE 90.1,Energy efficiency,Window_U_Value <= 1.8,,1.8,W/m²K,Windows
