RuleID,RuleName,Description,Code_Reference,Priority,Applies_To,Building_Type,Requirement,Category,Notes
DR-IBC-001,Bedroom Minimum Area,Habitable rooms minimum 70 sq ft (6.5 m²),IBC 1208.2,Critical,Bedroom;Habitable-Room,Residential,Area >= 6.5 m²,Occupancy,Ensure minimum livable space
DR-IBC-002,Bedroom Minimum Width,Bedrooms minimum 7 feet (2.13 m) in any dimension,IBC 1208.2,Critical,Bedroom,Residential,Width >= 2.13 m,Dimensional,Furniture placement
DR-IBC-003,Ceiling Height Habitable,"Habitable rooms minimum 7'6"" (2.28 m) ceiling height",IBC 1208.2,Critical,Bedroom;Living;Dining,Residential,Height >= 2.28 m,Dimensional,Livable space requirement
DR-IBC-004,Bathroom Ceiling Height,"Bathrooms minimum 6'8"" (2.03 m) ceiling height",IBC 1208.2,High,Bathroom,All,Height >= 2.03 m,Dimensional,Reduced height acceptable
DR-IBC-005,Natural Light Required,Habitable rooms minimum 8% floor area as glazed openings,IBC 1205.2,High,Bedroom;Living;Dining,Residential,Window_Area >= 0.08 * Floor_Area,Light-Air,Natural light requirement
DR-IBC-006,Natural Ventilation,Ventilation openings minimum 4% of floor area,IBC 1205.4,High,Habitable-Room,All,Operable_Window >= 0.04 * Floor_Area,Light-Air,Unless mechanical ventilation
DR-IBC-007,Egress Window Required,Bedrooms require egress window minimum 5.7 sq ft,IBC 1030,Critical,Bedroom,Residential,Egress_Window >= 0.53 m²,Life-Safety,Emergency escape
DR-IBC-008,Egress Window Height,"Egress window minimum 24"" (610 mm) height",IBC 1030.2,Critical,Bedroom,Residential,Window_Height >= 610 mm,Life-Safety,Emergency escape
DR-IBC-009,Egress Window Width,"Egress window minimum 20"" (508 mm) width",IBC 1030.2,Critical,Bedroom,Residential,Window_Width >= 508 mm,Life-Safety,Emergency escape
DR-IBC-010,Egress Sill Height,"Egress window sill maximum 44"" (1118 mm) above floor",IBC 1030.2,Critical,Bedroom,Residential,Sill_Height <= 1118 mm,Life-Safety,Accessible escape
DR-IBC-011,Door Width Minimum,"Doors minimum 32"" (813 mm) clear width",IBC 1010.1.1,High,All-Rooms,All,Door_Clear >= 813 mm,Accessibility,Wheelchair access
DR-IBC-012,Door Height Minimum,"Doors minimum 80"" (2032 mm) height",IBC 1010.1.1,High,All-Rooms,All,Door_Height >= 2032 mm,Dimensional,Standard clearance
DR-IBC-013,Corridor Width Residential,"Corridors minimum 36"" (914 mm) width",IBC 1020.2,High,Corridor;Hallway,Residential,Width >= 914 mm,Egress,Evacuation path
DR-IBC-014,Corridor Width Commercial,"Commercial corridors minimum 44"" (1118 mm) width",IBC 1020.2,Critical,Corridor;Hallway,Commercial,Width >= 1118 mm,Egress,Higher occupancy
DR-IBC-015,Stair Width Residential,"Residential stairs minimum 36"" (914 mm) clear width",IBC 1011.2,Critical,Stair,Residential,Width >= 914 mm,Egress,Evacuation
DR-IBC-016,Stair Width Commercial,"Commercial stairs minimum 44"" (1118 mm) clear width",IBC 1011.2,Critical,Stair,Commercial,Width >= 1118 mm,Egress,Higher capacity
DR-IBC-017,Stair Riser Height Max,"Stair risers maximum 7.75"" (197 mm) height",IBC 1011.5.2,Critical,Stair,All,Riser_Height <= 197 mm,Life-Safety,Safe climbing
