MaterialId,Name,Category,SubCategory,ThermalConductivity,Density,UnitCost,Currency,FireRating,Region
MAT-FL-001,Red Oak Solid 3/4x2.25 Select,Floor,Hardwood-Solid,0.1,680,8.5,USD,Class-A,International
MAT-FL-002,Red Oak Solid 3/4x3.25 Select,Floor,Hardwood-Solid,0.1,680,10.5,USD,Class-A,International
MAT-FL-003,Red Oak Engineered 1/2x5 Select,Floor,Hardwood-Engineered,0.12,700,9.5,USD,Class-A,International
MAT-FL-004,Red Oak Engineered 5/8x7 Select,Floor,Hardwood-Engineered,0.12,700,11.5,USD,Class-A,International
MAT-FL-005,White Oak Solid 3/4x5 Select,Floor,Hardwood-Solid,0.11,710,10.5,USD,Class-A,International
MAT-FL-006,White Oak Solid 3/4x7 Wide Plank,Floor,Hardwood-Solid,0.11,710,14.5,USD,Class-A,International
MAT-FL-007,White Oak Engineered 1/2x7.5 Rift,Floor,Hardwood-Engineered,0.12,720,16.5,USD,Class-A,International
MAT-FL-008,Maple Solid 3/4x2.25 Select,Floor,Hardwood-Solid,0.1,750,9.5,USD,Class-A,International
MAT-FL-009,Maple Solid 3/4x3.25 Select,Floor,Hardwood-Solid,0.1,750,11.5,USD,Class-A,International
MAT-FL-010,Maple Engineered 1/2x5 Select,Floor,Hardwood-Engineered,0.11,760,10.5,USD,Class-A,International
MAT-FL-011,Hickory Solid 3/4x5 Natural,Floor,Hardwood-Solid,0.1,810,11.5,USD,Class-A,International
MAT-FL-012,Hickory Engineered 5/8x6 Rustic,Floor,Hardwood-Engineered,0.11,820,13.5,USD,Class-A,International
MAT-FL-013,Cherry Solid 3/4x3 Select,Floor,Hardwood-Solid,0.1,660,12.5,USD,Class-A,International
MAT-FL-014,Cherry Solid 3/4x5 Select,Floor,Hardwood-Solid,0.1,660,15.5,USD,Class-A,International
MAT-FL-015,Cherry Engineered 1/2x5 Select,Floor,Hardwood-Engineered,0.11,670,13.5,USD,Class-A,International
MAT-FL-016,Walnut Solid 3/4x5 Natural,Floor,Hardwood-Solid,0.1,630,16.5,USD,Class-A,International
MAT-FL-017,Walnut Engineered 5/8x7 Select,Floor,Hardwood-Engineered,0.11,640,18.5,USD,Class-A,International
MAT-FL-018,Ash Solid 3/4x3.25 Select,Floor,Hardwood-Solid,0.1,690,9.5,USD,Class-A,International
MAT-FL-019,Ash Solid 3/4x5 Wide Plank,Floor,Hardwood-Solid,0.1,690,11.5,USD,Class-A,International
MAT-FL-020,Bamboo Solid 5/8x3.75 Horizontal,Floor,Bamboo-Solid,0.1,650,7.5,USD,Class-A,International
MAT-FL-021,Bamboo Solid 5/8x5 Strand Woven,Floor,Bamboo-Solid,0.1,1100,9.5,USD,Class-A,International
MAT-FL-022,Bamboo Engineered 1/2x5 Click,Floor,Bamboo-Engineered,0.11,650,8.5,USD,Class-A,International
MAT-FL-023,Brazilian Cherry Solid 3/4x3.25,Floor,Hardwood-Solid,0.09,820,18.5,USD,Class-A,International
MAT-FL-024,Brazilian Cherry Solid 3/4x5,Floor,Hardwood-Solid,0.09,820,22.5,USD,Class-A,International
MAT-FL-025,Teak Solid 3/4x5 Select,Floor,Hardwood-Solid,0.1,630,28.5,USD,Class-A,International
MAT-FL-026,Acacia Solid 3/4x4.75 Handscraped,Floor,Hardwood-Solid,0.1,770,12.5,USD,Class-A,International
MAT-FL-027,Reclaimed Oak 3/4 Random Width,Floor,Hardwood-Reclaimed,0.1,680,22.5,USD,Class-A,International
MAT-FL-028,Reclaimed Barn Wood Mixed Species,Floor,Hardwood-Reclaimed,0.11,600,18.5,USD,Class-A,International
MAT-FL-029,Pine Solid 3/4x3.25 Select,Floor,Hardwood-Solid,0.08,510,6.5,USD,Class-A,International
MAT-FL-030,Douglas Fir Solid 3/4x5 Select,Floor,Hardwood-Solid,0.09,550,7.5,USD,Class-A,International
MAT-FL-031,Ceramic Tile 12x12 Glazed Matte,Floor,Tile-Ceramic,0.9,2000,3.5,USD,Class-A,International
MAT-FL-032,Ceramic Tile 18x18 Glazed Polished,Floor,Tile-Ceramic,0.9,2000,5.5,USD,Class-A,International
MAT-FL-033,Ceramic Tile 12x24 Glazed Textured,Floor,Tile-Ceramic,0.9,2000,4.5,USD,Class-A,International
MAT-FL-034,Ceramic Mosaic 1in Hexagon Sheet,Floor,Tile-Ceramic,0.9,2000,12.5,USD,Class-A,International
MAT-FL-035,Ceramic Mosaic Penny Round Sheet,Floor,Tile-Ceramic,0.9,2000,14.5,USD,Class-A,International
MAT-FL-036,Porcelain 12x12 Through-Body Matte,Floor,Tile-Porcelain,1.0,2300,5.5,USD,Class-A,International
MAT-FL-037,Porcelain 24x24 Through-Body Polished,Floor,Tile-Porcelain,1.0,2300,9.5,USD,Class-A,International
MAT-FL-038,Porcelain 12x24 Rectified Wood-Look,Floor,Tile-Porcelain,1.0,2300,8.5,USD,Class-A,International
MAT-FL-039,Porcelain 6x36 Plank Wood-Look,Floor,Tile-Porcelain,1.0,2300,9.5,USD,Class-A,International
MAT-FL-040,Porcelain 8x48 Large Plank Wood-Look,Floor,Tile-Porcelain,1.0,2300,12.5,USD,Class-A,International
MAT-FL-041,Porcelain 12x24 Marble-Look Polished,Floor,Tile-Porcelain,1.0,2300,11.5,USD,Class-A,International
