RoomType,MinArea_M2,MaxArea_M2,MinWidth_M,MinHeight_M,RequiredVentilation_ACH,RequiredLighting_Lux,RequiredOutlets,RequiredFixtures,RequiredFeatures,AccessibilityReqs,Notes
Bedroom,7,30,2.4,2.4,0.5,150,2-4,None,Window;Closet,Accessible door,Minimum habitable room size
MasterBedroom,12,40,3.0,2.4,0.5,150,4-6,None,Window;WalkInCloset;Ensuite,Accessible door,Larger primary bedroom
ChildBedroom,7,15,2.4,2.4,0.5,150,2-3,None,Window;Storage,Accessible door,Child-sized bedroom
GuestBedroom,9,20,2.5,2.4,0.5,150,2-4,None,Window;Closet,Accessible door,Guest accommodation
Bathroom,3,10,1.5,2.3,8,200,1-2,Toilet;Sink;Shower/Bath,Exhaust fan;GFCI outlets,Clear floor space 750mm,Full bathroom requirements
Ensuite,3,8,1.5,2.3,8,200,1-2,Toilet;Sink;Shower,Exhaust fan;GFCI outlets,Direct bedroom access,Private bathroom
PowderRoom,2,4,1.2,2.3,8,200,1,Toilet;Sink,Exhaust fan;GFCI outlets,Guest access,Half bath minimum
Kitchen,6,25,2.0,2.4,15,300,4-8,Sink;Stove,Range hood;Counter space;GFCI,Work triangle,Food preparation area
LivingRoom,12,60,3.0,2.4,0.35,150,4-8,None,Window;Natural light,Wide doorways,Main living space
DiningRoom,8,30,2.5,2.4,0.35,150,1-2,None,Lighting fixture,Table clearance,Dining accommodation
FamilyRoom,10,40,3.0,2.4,0.35,150,4-6,None,Window;Entertainment,Accessible,Casual living space
Office,6,20,2.0,2.4,0.5,400,4-6,None,Window;Desk space,Ergonomic layout,Work from home
Library,8,30,2.5,2.4,0.5,400,2-4,None,Shelving;Reading light,Quiet location,Book storage and reading
LaundryRoom,3,10,1.5,2.4,8,200,2-4,Washer;Dryer;Sink,Exhaust fan;Floor drain,Plumbing access,Utility room
MudRoom,2,8,1.2,2.4,0.5,150,1,None,Bench;Hooks;Storage,Entry transition,Secondary entrance
Garage,18,60,3.0,2.4,4,100,2-4,None,Vehicle door;Ventilation,Vehicle clearance,Car parking
Pantry,2,6,1.0,2.4,0.5,150,1,None,Shelving,Food storage,Kitchen storage
Closet,1,4,0.6,2.4,0,100,0,None,Rod;Shelving,Accessible,General storage
WalkInCloset,3,10,1.5,2.4,0.5,200,1,None,Hanging;Shelves;Mirror,Accessible,Large clothing storage
Hallway,3,20,1.0,2.4,0.35,100,1-3,None,Natural light preferred,1200mm clear width,Circulation space
Foyer,4,15,1.5,2.4,0.35,150,1-2,None,Coat storage,Accessible entrance,Main entry area
Balcony,3,20,1.2,0,Natural,50,1,None,Guard rail 1070mm;Drainage,Safe access,Outdoor space
Terrace,8,50,2.0,0,Natural,50,2-4,None,Guard rail;Drainage;Waterproofing,Accessible,Large outdoor area
Utility,3,10,1.5,2.4,8,200,2-4,None,Service access;Floor drain,Equipment clearance,Mechanical systems
HomeTheater,12,40,3.0,2.4,0.35,50-300,6-10,None,Acoustic treatment;Blackout,AV equipment,Entertainment room
Gym,8,30,2.5,2.7,1.0,300,2-4,None,Ventilation;Mirrors;Flooring,Equipment space,Exercise area
WineCellar,4,20,1.5,2.4,0.5,100,1,None,Climate control;Racking,Temperature 12-15°C,Wine storage
Workshop,8,30,2.5,2.7,4,400,4-8,None,Workbench;Storage;Power,Tool clearance,Hobby workspace
Sunroom,8,25,2.5,2.7,0.5,Natural,2-4,None,Glazing;Solar control,Natural light,Glass-enclosed space
Attic,8,60,2.0,1.8,1.0,100,1-2,None,Access stairs/ladder;Ventilation,Headroom clearance,Storage space
Basement,10,100,2.5,2.4,0.5,150,2-6,None,Dehumidification;Sump pump,Egress window,Below-grade space
