scheduleName,categoryId,fields,Filters,Sorting,Formulas,Header_Color,Text_Color,Background_Color
Door Schedule,Doors,"ASS_ID_TXT, ASS_TAG_1_TXT, ASS_LOC_TXT, ASS_LVL_COD_TXT, ASS_RM_COD_TXT, BLE_DOOR_OPERATION_TYPE_SWING_SLIDE_FOLD_ROLL_TXT, BLE_DOOR_WIDTH_MM, BLE_DOOR_HEIGHT_MM, BLE_DOOR_MAT_TXT, BLE_DOOR_GLAZING_PCT, BLE_DOOR_HARDWARE_SPECIFICATION_TXT, BLE_DOOR_ACOUSTIC_RATING_DB, BLE_DOOR_SECURITY_RATING_GRADE_TXT, BLE_DOOR_CLOSER_REQUIRED_BOOL, BLE_DOOR_PANIC_HARDWARE_REQUIRED_BOOL, FLS_PROT_FLS_RESISTANCE_RATING_MINUTES_MIN, RGL_ACCESS_CLEAR_WIDTH_MM, ASS_MANUFACTURER_TXT, ASS_MODEL_NR_TXT, PRJ_COMMENTS_TXT, ASS_STATUS_TXT",,,"ASS_ID_TXT=Mark, ASS_LOC_TXT=Level, ASS_LVL_COD_TXT=Level, ASS_MANUFACTURER_TXT=Manufacturer, ASS_MODEL_NR_TXT=Model, ASS_RM_COD_TXT=Number, ASS_TAG_1_TXT=Type Mark, BLE_DOOR_HEIGHT_MM=Height, BLE_DOOR_WIDTH_MM=Width, FLS_PROT_FLS_RESISTANCE_RATING_MINUTES_MIN=Fire Rating, PRJ_COMMENTS_TXT=Comments",#0066CC,#000000,
Window Schedule,Windows,"ASS_ID_TXT, ASS_TAG_1_TXT, ASS_LOC_TXT, ASS_LVL_COD_TXT, ASS_RM_COD_TXT, BLE_WINDOW_TYPE_CLASSIFICATION_TXT, BLE_WINDOW_OPERATION_TYPE_TXT, BLE_WINDOW_WIDTH_MM, BLE_WINDOW_HEIGHT_MM, BLE_WINDOW_SILL_HEIGHT_FROM_FLR_MM, BLE_WINDOW_FRAME_MAT_TXT, BLE_WINDOW_GLAZING_TYPE_SINGLE_DOUBLE_TRIPLE_TXT, BLE_WINDOW_U_VALUE_W_M_2K_NR, BLE_WINDOW_SOLAR_HEAT_GAIN_COEFFICIENT_NR, BLE_WINDOW_VISIBLE_LIGHT_TRANSMITTANCE_PCT, BLE_WINDOW_MOSQUITO_SCREEN_INCLUDED_TXT, BLE_WINDOW_BURGLAR_BARS_REQUIRED_UGANDA_BOOL, PER_THERM_SHADING_DEVICE_TXT, ASS_MANUFACTURER_TXT, ASS_MODEL_NR_TXT, PRJ_COMMENTS_TXT, ASS_STATUS_TXT",,,"ASS_ID_TXT=Mark, ASS_LOC_TXT=Level, ASS_LVL_COD_TXT=Level, ASS_MANUFACTURER_TXT=Manufacturer, ASS_MODEL_NR_TXT=Model, ASS_RM_COD_TXT=Number, ASS_TAG_1_TXT=Type Mark, BLE_WINDOW_HEIGHT_MM=Height, BLE_WINDOW_SILL_HEIGHT_FROM_FLR_MM=Sill Height, BLE_WINDOW_WIDTH_MM=Width, PRJ_COMMENTS_TXT=Comments",#0066CC,#000000,
Wall Schedule,Walls,"ASS_ID_TXT, ASS_TAG_1_TXT, BLE_WALL_TYPE_CLASSIFICATION_TXT, BLE_WALL_FUNCTION_TXT, BLE_LOAD_BEARING_ELE_BOOL, BLE_WALL_THICKNESS_MM, BLE_WALL_HEIGHT_MM, BLE_WALL_LENGTH_MM, BLE_WALL_PRIMARY_WALL_MAT_TXT, BLE_WALL_CST_METHOD_TXT, BLE_WALL_INTERIOR_FINISH_TXT, BLE_WALL_EXTERIOR_FINISH_TXT, BLE_WALL_THERMAL_TRANSMITTANCE_U_VALUE_W_M_2K_NR, BLE_WALL_SOUND_TRANSMISSION_CLASS_RATING_NR, BLE_WALL_MOISTURE_BARRIER_INCLUDED_TXT, FLS_PROT_FLS_RESISTANCE_RATING_MINUTES_MIN, RGL_UNBS_STD_TXT, PRJ_COMMENTS_TXT, ASS_STATUS_TXT",,,"ASS_ID_TXT=Mark, ASS_TAG_1_TXT=Type Mark, BLE_WALL_HEIGHT_MM=Unconnected Height, BLE_WALL_LENGTH_MM=Length, BLE_WALL_THICKNESS_MM=Width, FLS_PROT_FLS_RESISTANCE_RATING_MINUTES_MIN=Fire Rating, PRJ_COMMENTS_TXT=Comments",#0066CC,#000000,
Floor Schedule,Floors,"ASS_ID_TXT, ASS_TAG_1_TXT, BLE_FLR_TYPE_CLASSIFICATION_TXT, ASS_LVL_COD_TXT, BLE_FLR_LVL_NR, BLE_ELE_AREA_SQ_M, BLE_FLR_THICKNESS_MM, BLE_FLR_STRUCTURAL_SYSTEM_TXT, BLE_FLR_LD_CAP_KPA, BLE_FLR_FINISH_TXT, BLE_FLR_FINISH_MAT_TXT, BLE_FLR_FINISH_THICKNESS_MM, BLE_FLR_SLIP_RESISTANCE_RATING_NR, BLE_FLR_IMPACT_SOUND_INS_DB, BLE_FLR_RAISED_ACCESS_FLR_TXT, BLE_FLR_RAISED_FLR_HEIGHT_MM, BLE_FLR_UNDERFLR_HEATING_SYSTEM_TXT, BLE_FLR_MOISTURE_BARRIER_REQUIRED_BOOL, BLE_FLR_PERIMETER_DETAIL_TYPE_TXT, FLS_PROT_FLS_RESISTANCE_RATING_MINUTES_MIN, PRJ_COMMENTS_TXT, ASS_STATUS_TXT",,,"ASS_ID_TXT=Mark, ASS_LVL_COD_TXT=Level, ASS_TAG_1_TXT=Type Mark, BLE_ELE_AREA_SQ_M=Area, BLE_FLR_LVL_NR=Level, BLE_FLR_THICKNESS_MM=Thickness, FLS_PROT_FLS_RESISTANCE_RATING_MINUTES_MIN=Fire Rating, PRJ_COMMENTS_TXT=Comments",#0066CC,#000000,
Ceiling Schedule,Ceilings,"ASS_ID_TXT, ASS_TAG_1_TXT, BLE_CEILING_TYPE_CLASSIFICATION_TXT, ASS_LVL_COD_TXT, ASS_RM_COD_TXT, BLE_ELE_AREA_SQ_M, BLE_CEILING_HEIGHT_MM, BLE_CEILING_SYSTEM_TXT, BLE_CEILING_MAT_TXT, BLE_CEILING_FINISH_TXT, BLE_CEILING_GRID_SZ_MM, BLE_CEILING_PLENUM_HEIGHT_MM, BLE_CEILING_LIGHT_REFLECTANCE_PCT, BLE_CEILING_NOISE_REDCTION_COEFFICIENT_NRC_NR, BLE_CEILING_ACCESS_PNLS_INCLUDED_TXT, FLS_PROT_FLS_RESISTANCE_RATING_MINUTES_MIN, ASS_MANUFACTURER_TXT, PRJ_COMMENTS_TXT, ASS_STATUS_TXT",,,"ASS_ID_TXT=Mark, ASS_LVL_COD_TXT=Level, ASS_MANUFACTURER_TXT=Manufacturer, ASS_RM_COD_TXT=Number, ASS_TAG_1_TXT=Type Mark, BLE_CEILING_HEIGHT_MM=Height Offset From Level, BLE_ELE_AREA_SQ_M=Area, FLS_PROT_FLS_RESISTANCE_RATING_MINUTES_MIN=Fire Rating, PRJ_COMMENTS_TXT=Comments",#0066CC,#000000,
Roof Schedule,Roofs,"ASS_ID_TXT, ASS_TAG_1_TXT, BLE_ROOF_TYPE_TXT, BLE_ELE_AREA_SQ_M, BLE_ROOF_SLOPE_DEG, BLE_ROOF_STRUCTURE_TYPE_TXT, BLE_ROOF_COVERING_MAT_TXT, BLE_ROOF_CLR_TXT, BLE_ROOF_INS_R_VALUE_M_2K_W, BLE_ROOF_SOLAR_REFLECTANCE_INDEX_NR, BLE_ROOF_WATERPROOFING_SYSTEM_TXT, BLE_ROOF_OVERHANG_MM, BLE_ROOF_GUTTER_SZ_MM, BLE_ROOF_DOWNPPE_SZ_MM, BLE_ROOF_PLM_DRN_SYSTEM_TYPE_TXT, BLE_ROOF_RAINWTR_HARVESTING_INTEGRATION_BOOL, ASS_MANUFACTURER_TXT, PRJ_COMMENTS_TXT, ASS_STATUS_TXT",,,"ASS_ID_TXT=Mark, ASS_MANUFACTURER_TXT=Manufacturer, ASS_TAG_1_TXT=Type Mark, BLE_ELE_AREA_SQ_M=Area, BLE_ROOF_SLOPE_DEG=Slope, PRJ_COMMENTS_TXT=Comments",#0066CC,#000000,
Room Schedule,Rooms,"ASS_ID_TXT, BLE_ROOM_NUMBER_TXT, BLE_ROOM_NAME_TXT, ASS_LVL_COD_TXT, ASS_ZONE_TXT, ASS_ROOM_FUNCTION_USE_TXT, ASS_DEPARTMENT_ASSIGNMENT_TXT, ASS_ROOM_AREA_SQ_M, ASS_ROOM_VOLUME_CU_M, BLE_CEILING_HEIGHT_MM, ASS_DESIGN_OCCUPANCY_INT, ASS_DESIGN_LTG_LVL_LUX_NR, BLE_FLR_FINISH_TXT, BLE_WALL_FINISH_TXT, BLE_CEILING_FINISH_TXT, ASS_SKIRTING_TYPE_TXT, ASS_NUMBER_OF_PWR_OUTLETS_INT, ASS_NUMBER_OF_DAT_OUTLETS_INT, PER_ACOUSTICS_BACKGROUND_NOISE_DB, FLS_SFTY_SEC_EXIT_SIGNAGE_BOOL, PRJ_COMMENTS_TXT, ASS_STATUS_TXT",,,"ASS_DEPARTMENT_ASSIGNMENT_TXT=Department, ASS_ID_TXT=Mark, ASS_LVL_COD_TXT=Level, ASS_ROOM_AREA_SQ_M=Area, ASS_ROOM_VOLUME_CU_M=Volume, ASS_ZONE_TXT=Zone, BLE_CEILING_HEIGHT_MM=Height Offset From Level, BLE_ROOM_NAME_TXT=Name, BLE_ROOM_NUMBER_TXT=Number, PRJ_COMMENTS_TXT=Comments",#0066CC,#000000,
Facade Schedule,Curtain Panels,"ASS_ID_TXT, ASS_TAG_1_TXT, BLE_FACADE_TYPE_TXT, ASS_LOC_TXT, BLE_ELE_AREA_SQ_M, BLE_FACADE_MAT_TXT, BLE_FACADE_FINISH_TXT, BLE_FACADE_CLR_TXT, BLE_FACADE_PNL_SZ_TXT, BLE_FACADE_FIX_SYSTEM_TXT, BLE_FACADE_INS_BOOL, BLE_FACADE_VENTILATED_TXT, PER_THERM_U_VALUE_W_M2K_NR, PER_THERM_SOLAR_ABSORPTANCE_NR, PLM_FACADE_WTR_PENETRATION_RESIST_NR, ASS_MANUFACTURER_TXT, ASS_MODEL_NR_TXT, PRJ_COMMENTS_TXT, ASS_STATUS_TXT",,,"ASS_ID_TXT=Mark, ASS_LOC_TXT=Level, ASS_MANUFACTURER_TXT=Manufacturer, ASS_MODEL_NR_TXT=Model, ASS_TAG_1_TXT=Type Mark, BLE_ELE_AREA_SQ_M=Area, PRJ_COMMENTS_TXT=Comments",#0066CC,#000000,
Stair Schedule,Stairs,"ASS_ID_TXT, ASS_TAG_1_TXT, BLE_STAIR_TYPE_TXT, ASS_LOC_TXT, ASS_LVL_COD_TXT, BLE_STAIR_WIDTH_MM, BLE_STAIR_RISE_MM, BLE_STAIR_GOING_MM, BLE_STAIR_MAT_TXT, BLE_STAIR_TREAD_FINISH_TXT, BLE_STAIR_NOSING_TYPE_TXT, BLE_STAIR_HANDRAIL_HEIGHT_MM, BLE_STAIR_HANDRAIL_MAT_TXT, BLE_STAIR_BALUSTRADE_TYPE_TXT, FLS_PROT_FLS_ESCAPE_STAIR_TXT, RGL_ACCESS_CLEAR_WIDTH_MM, RGL_ACCESS_TACTILE_WARNING_TXT, PRJ_COMMENTS_TXT, ASS_STATUS_TXT",,,"ASS_ID_TXT=Mark, ASS_LOC_TXT=Level, ASS_LVL_COD_TXT=Level, ASS_TAG_1_TXT=Type Mark, BLE_STAIR_GOING_MM=Actual Tread Depth, BLE_STAIR_RISE_MM=Actual Riser Height, BLE_STAIR_WIDTH_MM=Actual Run Width, PRJ_COMMENTS_TXT=Comments",#0066CC,#000000,
Ramp Schedule,Ramps,"ASS_ID_TXT, ASS_TAG_1_TXT, ASS_LOC_TXT, ASS_LVL_COD_TXT, BLE_RAMP_WIDTH_MM, BLE_RAMP_SLOPE_PCT, BLE_RAMP_SURFACE_FINISH_TXT, BLE_RAMP_HANDRAIL_BOTH_SIDES_TXT, RGL_ACCESS_CLEAR_WIDTH_MM, RGL_ACCESS_TURNING_RADIUS_MM, RGL_ACCESS_CMPL_STD_TXT, PRJ_COMMENTS_TXT, ASS_STATUS_TXT",,,"ASS_ID_TXT=Mark, ASS_LOC_TXT=Level, ASS_LVL_COD_TXT=Level, ASS_TAG_1_TXT=Type Mark, BLE_RAMP_SLOPE_PCT=Slope, BLE_RAMP_WIDTH_MM=Width, PRJ_COMMENTS_TXT=Comments",#0066CC,#000000,
