scheduleName,categoryId,fields,Filters,Sorting,Formulas,Header_Color,Text_Color,Background_Color
Guid,Generic Models,"32347c5d-1605-50ab-9c8c-5dc36c0c1765, ASS_CST_TOTAL_UGX_NR, NUMBER, ASS_MNG (Asset Management), Ass Cst Total Ugx Nr [ISO 19650-3:2020], Yes, Yes",,,,#808080,#000000,
Revit Category,Generic Models,"Roofs, Roof Schedule, Thermal Performance, BLE_ROOF_SLOPE_DEG, Include drainage info",,,BLE_ROOF_SLOPE_DEG=Slope,#808080,#000000,
Asset Register,Generic Models,"ASS_ID_TXT, ASS_TAG_1_TXT, ASS_TAG_2_TXT, ASS_TAG_3_TXT, ASS_CAT_TXT, ASS_DESCRIPTION_TXT, ASS_SYSTEM_TYPE_TXT, ASS_DISCIPLINE_COD_TXT, ASS_LOC_TXT, ASS_LVL_COD_TXT, ASS_RM_COD_TXT, ASS_ZONE_TXT, ASS_STATUS_TXT, ASS_MANUFACTURER_TXT, ASS_MODEL_NR_TXT, ASS_SERIAL_NR_TXT, ASS_PART_NUMBER_TXT, ASS_PRODCT_COD_TXT, ASS_EQUIPMENT_TAG_TXT, ASS_INST_DATE_TXT, ASS_EXPECTED_LIFE_YEARS_YRS, ASS_WARRANTY_PERIOD_TXT, ASS_WARRANTY_EXPIRATION_DATE_TXT, ASS_CRITICALITY_RATING_NR, ASS_DEPARTMENT_ASSIGNMENT_TXT, ASS_OANDM_MANUALS_PROVIDED_TXT, ASS_LOCAL_SERVICE_AVAILABLE_TXT",,,"ASS_CAT_TXT=Category, ASS_DEPARTMENT_ASSIGNMENT_TXT=Department, ASS_DESCRIPTION_TXT=Description, ASS_EQUIPMENT_TAG_TXT=Mark, ASS_ID_TXT=Mark, ASS_LOC_TXT=Level, ASS_LVL_COD_TXT=Level, ASS_MANUFACTURER_TXT=Manufacturer, ASS_MODEL_NR_TXT=Model, ASS_PART_NUMBER_TXT=Part Number, ASS_PRODCT_COD_TXT=Assembly Code, ASS_RM_COD_TXT=Number, ASS_SERIAL_NR_TXT=Serial Number, ASS_SYSTEM_TYPE_TXT=System Name, ASS_TAG_1_TXT=Type Mark, ASS_TAG_2_TXT=Mark, ASS_TAG_3_TXT=Assembly Code, ASS_ZONE_TXT=Zone",#808080,#000000,
Equipment Schedule,Mechanical Equipment,"ASS_ID_TXT, ASS_EQUIPMENT_TAG_TXT, ASS_CAT_TXT, ASS_SYSTEM_TYPE_TXT, ASS_DESCRIPTION_TXT, ASS_LOC_TXT, ASS_LVL_COD_TXT, ASS_RM_COD_TXT, ASS_MANUFACTURER_TXT, ASS_MODEL_NR_TXT, ASS_SERIAL_NR_TXT, ASS_INST_DATE_TXT, ASS_EXPECTED_LIFE_YEARS_YRS, ASS_CRITICALITY_RATING_NR, ASS_CST_UNIT_PRICE_UGX_NR, ASS_CST_INSTALL_UGX_NR, ASS_CST_ANNUAL_MAINTENANCE_UGX_NR, ASS_CST_LIFECYCLE_UGX_NR",,,"ASS_CAT_TXT=Category, ASS_CST_UNIT_PRICE_UGX_NR=Cost, ASS_DESCRIPTION_TXT=Description, ASS_EQUIPMENT_TAG_TXT=Mark, ASS_ID_TXT=Mark, ASS_LOC_TXT=Level, ASS_LVL_COD_TXT=Level, ASS_MANUFACTURER_TXT=Manufacturer, ASS_MODEL_NR_TXT=Model, ASS_RM_COD_TXT=Number, ASS_SERIAL_NR_TXT=Serial Number, ASS_SYSTEM_TYPE_TXT=System Name",#00CC66,#000000,
Maintenance Schedule,Generic Models,"ASS_ID_TXT, ASS_EQUIPMENT_TAG_TXT, ASS_DESCRIPTION_TXT, ASS_SYSTEM_TYPE_TXT, ASS_LOC_TXT, ASS_LVL_COD_TXT, ASS_MAINTENANCE_SCHEDULE_TXT, ASS_MAINTENANCE_FREQUENCY_MONTHS, ASS_CRITICALITY_RATING_NR, ASS_EXPECTED_LIFE_YEARS_YRS, ASS_INST_DATE_TXT, ASS_WARRANTY_PERIOD_TXT, ASS_WARRANTY_EXPIRATION_DATE_TXT, ASS_CST_ANNUAL_MAINTENANCE_UGX_NR, ASS_LOCAL_SERVICE_AVAILABLE_TXT, ASS_OANDM_MANUALS_PROVIDED_TXT, RGL_PERIODIC_INSP_FREQ_TXT, RGL_QA_COMMISSIONING_REQ_TXT",,,"ASS_DESCRIPTION_TXT=Description, ASS_EQUIPMENT_TAG_TXT=Mark, ASS_ID_TXT=Mark, ASS_LOC_TXT=Level, ASS_LVL_COD_TXT=Level, ASS_SYSTEM_TYPE_TXT=System Name",#808080,#000000,
Room Data Schedule,Rooms,"BLE_ROOM_NUMBER_TXT, BLE_ROOM_NAME_TXT, ASS_ROOM_FUNCTION_USE_TXT, ASS_LVL_COD_TXT, ASS_ZONE_TXT, ASS_ROOM_AREA_SQ_M, ASS_ROOM_VOLUME_CU_M, ASS_DESIGN_OCCUPANCY_INT, ASS_DESIGN_LTG_LVL_LUX_NR, BLE_CEILING_HEIGHT_MM, BLE_FLR_FINISH_TXT, BLE_WALL_FINISH_TXT, BLE_CEILING_MAT_TXT, ASS_SKIRTING_TYPE_TXT, ASS_NUMBER_OF_PWR_OUTLETS_INT, ASS_NUMBER_OF_DAT_OUTLETS_INT, PER_ACOUSTICS_STC_RATING_TXT, PER_THERM_NATURAL_VENT_TXT, RGL_ACCESS_CMPL_STD_TXT",,,"ASS_LVL_COD_TXT=Level, ASS_ROOM_AREA_SQ_M=Area, ASS_ROOM_VOLUME_CU_M=Volume, ASS_ZONE_TXT=Zone, BLE_CEILING_HEIGHT_MM=Height Offset From Level, BLE_ROOM_NAME_TXT=Name, BLE_ROOM_NUMBER_TXT=Number",#0066CC,#000000,
Door Schedule,Doors,"ASS_ID_TXT, ASS_TAG_1_TXT, BLE_ROOM_NUMBER_TXT, BLE_DOOR_MAT_TXT, BLE_DOOR_WIDTH_MM, BLE_DOOR_HEIGHT_MM, BLE_DOOR_OPERATION_TYPE_SWING_SLIDE_FOLD_ROLL_TXT, BLE_DOOR_GLAZING_PCT, BLE_DOOR_HARDWARE_SPECIFICATION_TXT, BLE_DOOR_CLOSER_REQUIRED_BOOL, BLE_DOOR_PANIC_HARDWARE_REQUIRED_BOOL, BLE_DOOR_ACOUSTIC_RATING_DB, BLE_DOOR_SECURITY_RATING_GRADE_TXT, FLS_PROT_FLS_RESISTANCE_RATING_MINUTES_MIN, RGL_ACCESS_CLEAR_WIDTH_MM, RGL_ACCESS_THRESHOLD_HEIGHT_MM",,,"ASS_ID_TXT=Mark, ASS_TAG_1_TXT=Type Mark, BLE_DOOR_HEIGHT_MM=Height, BLE_DOOR_WIDTH_MM=Width, BLE_ROOM_NUMBER_TXT=Number, FLS_PROT_FLS_RESISTANCE_RATING_MINUTES_MIN=Fire Rating",#0066CC,#000000,
Window Schedule,Windows,"ASS_ID_TXT, ASS_TAG_1_TXT, BLE_ROOM_NUMBER_TXT, BLE_WINDOW_TYPE_CLASSIFICATION_TXT, BLE_WINDOW_WIDTH_MM, BLE_WINDOW_HEIGHT_MM, BLE_WINDOW_SILL_HEIGHT_FROM_FLR_MM, BLE_WINDOW_FRAME_MAT_TXT, BLE_WINDOW_GLAZING_TYPE_SINGLE_DOUBLE_TRIPLE_TXT, BLE_WINDOW_OPERATION_TYPE_TXT, BLE_WINDOW_U_VALUE_W_M_2K_NR, BLE_WINDOW_SOLAR_HEAT_GAIN_COEFFICIENT_NR, BLE_WINDOW_VISIBLE_LIGHT_TRANSMITTANCE_PCT, BLE_WINDOW_MOSQUITO_SCREEN_INCLUDED_TXT, BLE_WINDOW_BURGLAR_BARS_REQUIRED_UGANDA_BOOL",,,"ASS_ID_TXT=Mark, ASS_TAG_1_TXT=Type Mark, BLE_ROOM_NUMBER_TXT=Number, BLE_WINDOW_HEIGHT_MM=Height, BLE_WINDOW_SILL_HEIGHT_FROM_FLR_MM=Sill Height, BLE_WINDOW_WIDTH_MM=Width",#0066CC,#000000,
Wall Schedule,Walls,"ASS_ID_TXT, ASS_TAG_1_TXT, BLE_WALL_TYPE_CLASSIFICATION_TXT, BLE_WALL_FUNCTION_TXT, BLE_WALL_PRIMARY_WALL_MAT_TXT, BLE_WALL_THICKNESS_MM, BLE_WALL_HEIGHT_MM, BLE_WALL_LENGTH_MM, BLE_WALL_CST_METHOD_TXT, BLE_WALL_INTERIOR_FINISH_TXT, BLE_WALL_EXTERIOR_FINISH_TXT, BLE_LOAD_BEARING_ELE_BOOL, BLE_WALL_THERMAL_TRANSMITTANCE_U_VALUE_W_M_2K_NR, BLE_WALL_SOUND_TRANSMISSION_CLASS_RATING_NR, BLE_WALL_MOISTURE_BARRIER_INCLUDED_TXT, FLS_PROT_FLS_RESISTANCE_RATING_MINUTES_MIN",,,"ASS_ID_TXT=Mark, ASS_TAG_1_TXT=Type Mark, BLE_WALL_HEIGHT_MM=Unconnected Height, BLE_WALL_LENGTH_MM=Length, BLE_WALL_THICKNESS_MM=Width, FLS_PROT_FLS_RESISTANCE_RATING_MINUTES_MIN=Fire Rating",#0066CC,#000000,
Floor Schedule,Floors,"ASS_ID_TXT, ASS_TAG_1_TXT, BLE_FLR_TYPE_CLASSIFICATION_TXT, BLE_FLR_LVL_NR, BLE_FLR_STRUCTURAL_SYSTEM_TXT, BLE_FLR_THICKNESS_MM, BLE_FLR_FINISH_TXT, BLE_FLR_FINISH_MAT_TXT, BLE_FLR_FINISH_THICKNESS_MM, BLE_FLR_LD_CAP_KPA, BLE_FLR_SLIP_RESISTANCE_RATING_NR, BLE_FLR_IMPACT_SOUND_INS_DB, BLE_FLR_RAISED_ACCESS_FLR_TXT, BLE_FLR_RAISED_FLR_HEIGHT_MM, BLE_FLR_UNDERFLR_HEATING_SYSTEM_TXT, BLE_FLR_MOISTURE_BARRIER_REQUIRED_BOOL, BLE_FLR_PERIMETER_DETAIL_TYPE_TXT",,,"ASS_ID_TXT=Mark, ASS_TAG_1_TXT=Type Mark, BLE_FLR_LVL_NR=Level, BLE_FLR_THICKNESS_MM=Thickness",#0066CC,#000000,
