Schedule Name,Category,Fields,Filters,Sorting,Formulas,Header_Color,Text_Color,Background_Color
Hvac Equipment,Mechanical Equipment,"ASS_ID_TXT, ASS_EQUIPMENT_TAG_TXT, HVC_TYPE_TXT, ASS_LOC_TXT, HVC_CAP_KW, HVC_CAP_TR, HVC_DCT_FLW_CFM, HVC_PWR_KW, HVC_VLT_V, HVC_REFRIGERANT_TXT, HVC_CONTROL_TYPE_TXT, HVC_EFF_RATIO_NR, ASS_MANUFACTURER_TXT, ASS_MODEL_NR_TXT, ASS_STATUS_TXT, PRJ_COMMENTS_TXT",,,"ASS_EQUIPMENT_TAG_TXT=Mark, ASS_ID_TXT=Mark, ASS_LOC_TXT=Level, ASS_MANUFACTURER_TXT=Manufacturer, ASS_MODEL_NR_TXT=Model, HVC_CAP_KW=Cooling Capacity, HVC_CAP_TR=Cooling Capacity, HVC_DCT_FLW_CFM=Flow, PRJ_COMMENTS_TXT=Comments",#00CC66,#000000,
Duct Schedule,Ducts,"ASS_ID_TXT, ASS_SYSTEM_TYPE_TXT, HVC_DCT_PROPERTY_TXT, HVC_DCT_EQUIVALENT_DIAMETER_IN, HVC_DUCT_AREA_SQ_M, HVC_DUCT_FLOWRATE_M3H, HVC_VEL_MPS, HVC_DCT_MAT_TXT, HVC_DUCT_LINING_TXT, HVC_DUCT_CLASS_TXT, PRJ_COMMENTS_TXT",,,"ASS_ID_TXT=Mark, ASS_SYSTEM_TYPE_TXT=System Name, HVC_DUCT_FLOWRATE_M3H=Flow, HVC_VEL_MPS=Velocity, PRJ_COMMENTS_TXT=Comments",#00CC66,#000000,
Terminal Schedule,Air Terminals,"ASS_ID_TXT, HVC_DCT_TERMINAL_TYPE_SD_RG_EG_VAV_TXT, ASS_LOC_TXT, HVC_DCT_TERMINAL_SZ_TXT, HVC_DCT_FLW_CFM, HVC_DCT_SOUNDLVL_DB, HVC_TERMINAL_PATTERN_TXT, HVC_TERMINAL_DAMPER_TXT, HVC_TERMINAL_MAT_TXT, HVC_TERMINAL_FINISH_TXT, ASS_MANUFACTURER_TXT, ASS_MODEL_NR_TXT, PRJ_COMMENTS_TXT",,,"ASS_ID_TXT=Mark, ASS_LOC_TXT=Level, ASS_MANUFACTURER_TXT=Manufacturer, ASS_MODEL_NR_TXT=Model, HVC_DCT_FLW_CFM=Flow, PRJ_COMMENTS_TXT=Comments",#00CC66,#000000,
Hvac Pipe Schedule,Pipes,"ASS_ID_TXT, ASS_SYSTEM_TYPE_TXT, PLM_PPE_NOMINAL_SZ_INCH_NR, PLM_PPE_MAT_TXT, HVC_PIPE_FLOWRATE_LPS, HVC_VEL_MPS, HVC_PIPE_PRESSURE_KPA, HVC_DCT_MAT_TXT, HVC_PIPE_LENGTH_M, PRJ_COMMENTS_TXT",,,"ASS_ID_TXT=Mark, ASS_SYSTEM_TYPE_TXT=System Name, HVC_PIPE_FLOWRATE_LPS=Flow, HVC_PIPE_LENGTH_M=Length, HVC_PIPE_PRESSURE_KPA=Pressure, HVC_VEL_MPS=Velocity, PLM_PPE_NOMINAL_SZ_INCH_NR=Nominal Diameter, PRJ_COMMENTS_TXT=Comments",#3399FF,#000000,
Sprinkler Schedule,Sprinklers,"ASS_ID_TXT, FLS_PROT_SPRINKLER_HED_TYPE_TXT, ASS_LOC_TXT, FLS_SFTY_TEMP_RATING_C, FLS_SFTY_COVERAGE_AREA_SQ_M, FLS_SFTY_FLW_RATE_LPM_NR, FLS_PROT_CORROSION_PROT_LVL_NR, ASS_MANUFACTURER_TXT, ASS_MODEL_NR_TXT, PRJ_COMMENTS_TXT",,,"ASS_ID_TXT=Mark, ASS_LOC_TXT=Level, ASS_MANUFACTURER_TXT=Manufacturer, ASS_MODEL_NR_TXT=Model, PRJ_COMMENTS_TXT=Comments",#00CC66,#000000,
Fire Fighting Schedule,Mechanical Equipment,"ASS_ID_TXT, ASS_EQUIPMENT_TAG_TXT, ASS_LOC_TXT, FLS_SFTY_FLW_RATE_LPM_NR, FLS_SFTY_COVERAGE_AREA_SQ_M, ASS_MANUFACTURER_TXT, ASS_MODEL_NR_TXT, ASS_STATUS_TXT, PRJ_COMMENTS_TXT",,,"ASS_EQUIPMENT_TAG_TXT=Mark, ASS_ID_TXT=Mark, ASS_LOC_TXT=Level, ASS_MANUFACTURER_TXT=Manufacturer, ASS_MODEL_NR_TXT=Model, PRJ_COMMENTS_TXT=Comments",#00CC66,#000000,
Bms Equipment,Mechanical Equipment,"ASS_ID_TXT, COM_C_DEV_TYPE_TXT, ASS_LOC_TXT, COM_C_DEV_CONTROLLER_NAME_TXT, COM_C_DEV_BACNET_INSTANCE_INT, COM_C_PROTOCOL_TXT, COM_C_NETWORK_ADDRESS_TXT, ASS_MANUFACTURER_TXT, ASS_MODEL_NR_TXT, PRJ_COMMENTS_TXT",,,"ASS_ID_TXT=Mark, ASS_LOC_TXT=Level, ASS_MANUFACTURER_TXT=Manufacturer, ASS_MODEL_NR_TXT=Model, PRJ_COMMENTS_TXT=Comments",#00CC66,#000000,
Bms Points,Mechanical Equipment,"COM_C_DEV_TYPE_TXT, COM_C_DEV_CONTROLLER_NAME_TXT, COM_BMS_RANGE_TXT, COM_C_MEASUREMENT_RANGE_TXT, PRJ_COMMENTS_TXT",,,PRJ_COMMENTS_TXT=Comments,#00CC66,#000000,
Bms Sequences,Mechanical Equipment,"COM_C_DEV_TYPE_TXT, COM_C_MEASUREMENT_RANGE_TXT, PRJ_COMMENTS_TXT",,,PRJ_COMMENTS_TXT=Comments,#00CC66,#000000,
Data Equipment,Electrical Equipment,"ASS_ID_TXT, COM_C_DEV_TYPE_TXT, ASS_LOC_TXT, COM_C_PWR_SUPPLY_V, COM_C_NETWORK_ADDRESS_TXT, COM_C_PROTOCOL_TXT, ASS_MANUFACTURER_TXT, ASS_MODEL_NR_TXT, PRJ_COMMENTS_TXT",,,"ASS_ID_TXT=Mark, ASS_LOC_TXT=Level, ASS_MANUFACTURER_TXT=Manufacturer, ASS_MODEL_NR_TXT=Model, PRJ_COMMENTS_TXT=Comments",#FF6600,#000000,
Network Schedule,Electrical Equipment,"COM_C_DEV_TYPE_TXT, COM_CBL_TYPE_TXT, PRJ_COMMENTS_TXT",,,PRJ_COMMENTS_TXT=Comments,#FF6600,#000000,
Fire Detection,Fire Alarm Devices,"ASS_ID_TXT, FLS_SFTY_DEV_TYPE_TXT, ASS_LOC_TXT, FLS_SFTY_DEV_ZONE_TXT, FLS_SFTY_DEV_LOOP_TXT, FLS_SFTY_DEV_ADDRESS_TXT, FLS_SFTY_DEV_DETECTOR_SENSITIVITY_TXT, FLS_SFTY_COVERAGE_AREA_SQ_M, ASS_MANUFACTURER_TXT, ASS_MODEL_NR_TXT, PRJ_COMMENTS_TXT",,,"ASS_ID_TXT=Mark, ASS_LOC_TXT=Level, ASS_MANUFACTURER_TXT=Manufacturer, ASS_MODEL_NR_TXT=Model, PRJ_COMMENTS_TXT=Comments",#FF0000,#000000,
Equipment Summary,Mechanical Equipment,"ASS_EQUIPMENT_TAG_TXT, ASS_SYSTEM_TYPE_TXT, ASS_LOC_TXT, HVC_CAP_KW, HVC_PWR_KW, ASS_MANUFACTURER_TXT, ASS_STATUS_TXT, PRJ_COMMENTS_TXT",,,"ASS_EQUIPMENT_TAG_TXT=Mark, ASS_LOC_TXT=Level, ASS_MANUFACTURER_TXT=Manufacturer, ASS_SYSTEM_TYPE_TXT=System Name, HVC_CAP_KW=Cooling Capacity, PRJ_COMMENTS_TXT=Comments",#00CC66,#000000,
