Schedule Name,Category,Fields,Filters,Sorting,Formulas,Header_Color,Text_Color,Background_Color
Mep System Schedule,Generic Models,"SYS_NAME_TXT, SYS_ABBREVIATION_TXT, SYS_CODE_TXT, SYS_CLASSIFICATION_TXT, SYS_MEDIUM_TXT, SYS_TEMPERATURE_NR, SYS_PRESSURE_NR, SYS_DESIGN_VELOCITY_TXT, SYS_COLOR_R_INT, SYS_COLOR_G_INT, SYS_COLOR_B_INT, SYS_LINE_WEIGHT_INT, SYS_LINE_STYLE_TXT, SYS_MATERIAL_STANDARD_TXT, SYS_INSULATION_TYPE_TXT, SYS_APPLICABLE_STANDARDS_TXT, Unnamed: 16, Category: Duct Systems / Pipe Systems",,,,#808080,#000000,
Filter Schedule,Generic Models,"FLT_NAME_TXT, FLT_CATEGORIES_TXT, FLT_RULES_TXT, FLT_LINE_COLOR_R_INT, FLT_LINE_COLOR_G_INT, FLT_LINE_COLOR_B_INT, FLT_LINE_WEIGHT_INT, FLT_SURFACE_PATTERN_TXT, FLT_CUT_PATTERN_TXT, FLT_TRANSPARENCY_INT, FLT_USED_IN_TEMPLATES_TXT, FLT_STATUS_TXT, Unnamed: 12, Category: Views",,,,#808080,#000000,
Line Style Schedule,Generic Models,"LS_NAME_TXT, LS_WEIGHT_INT, LS_COLOR_R_INT, LS_COLOR_G_INT, LS_COLOR_B_INT, LS_PATTERN_TXT, LS_USAGE_TXT, LS_STATUS_TXT, Unnamed: 8, Category: Lines / Detail Items",,,,#808080,#000000,
Phase Schedule,Generic Models,"PH_NAME_TXT, PH_NUMBER_INT, PH_DESCRIPTION_TXT, PH_START_DATE_TXT, PH_END_DATE_TXT, PH_STATUS_TXT, PH_COLOR_R_INT, PH_COLOR_G_INT, PH_COLOR_B_INT, Unnamed: 9, Category: Project Information",,,,#808080,#000000,
Workset Schedule,Generic Models,"WS_NAME_TXT, WS_DISCIPLINE_TXT, WS_TYPE_TXT, WS_OWNER_TXT, WS_DESCRIPTION_TXT, WS_EDITABLE_DEFAULT_BOOL, WS_VISIBLE_DEFAULT_BOOL, Unnamed: 7, Category: Project Information",,,,#808080,#000000,
Text Style Schedule,Generic Models,"TS_NAME_TXT, TS_FONT_NAME_TXT, TS_FONT_SIZE_NR, TS_BOLD_BOOL, TS_ITALIC_BOOL, TS_UNDERLINE_BOOL, TS_WIDTH_FACTOR_NR, TS_USAGE_TXT, TS_STATUS_TXT, Unnamed: 9, Category: Text Notes / Annotations",,,,#808080,#000000,
Dimension Style Schedule,Generic Models,"DS_NAME_TXT, DS_TYPE_TXT, DS_TEXT_SIZE_NR, DS_TEXT_FONT_TXT, DS_TICK_MARK_TXT, DS_TICK_SIZE_NR, DS_UNITS_FORMAT_TXT, DS_PRECISION_TXT, DS_USAGE_TXT, Unnamed: 9, Category: Dimensions / Spot Elevations",,,,#808080,#000000,
Background Image Schedule,Generic Models,"BI_FILENAME_TXT, BI_DIMENSIONS_TXT, BI_TOP_COLOR_TXT, BI_BOTTOM_COLOR_TXT, BI_GRADIENT_TYPE_TXT, BI_FILE_LOCATION_TXT, BI_USED_IN_TEMPLATES_TXT, BI_CREATED_DATE_TXT, BI_STATUS_TXT, Unnamed: 9, Category: Views",,,,#808080,#000000,
Object Style Schedule,Generic Models,"OS_CATEGORY_TXT, OS_SUBCATEGORY_TXT, OS_PROJECTION_WEIGHT_INT, OS_CUT_WEIGHT_INT, OS_COLOR_R_INT, OS_COLOR_G_INT, OS_COLOR_B_INT, OS_PATTERN_TXT, OS_MATERIAL_TXT, Unnamed: 9, Category: Walls / Floors / Roofs",,,,#808080,#000000,
Color Palette Schedule,Generic Models,"CP_PALETTE_NAME_TXT, CP_ELEMENT_TYPE_TXT, CP_COLOR_R_INT, CP_COLOR_G_INT, CP_COLOR_B_INT, CP_HEX_CODE_TXT, CP_USE_CASE_TXT, CP_STYLE_TXT, Unnamed: 8, Category: Views",,,,#808080,#000000,
Master Audit Schedule,Generic Models,"MA_ELEMENT_CATEGORY_TXT, MA_ELEMENT_NAME_TXT, MA_TEMPLATE_COMPLIANCE_TXT, MA_LAST_REVIEWED_DATE_TXT, MA_REVIEWED_BY_TXT, MA_ISSUES_FOUND_TXT, MA_ACTION_REQUIRED_TXT, MA_PRIORITY_TXT, MA_STATUS_TXT, MA_NOTES_TXT, Unnamed: 10, Category: Project Information",,,,#808080,#000000,
Spare Parameters Schedule,Generic Models,"SPARE_PARAM_01_TXT, SPARE_PARAM_02_TXT, SPARE_PARAM_03_TXT, SPARE_PARAM_04_NR, SPARE_PARAM_05_INT, Unnamed: 5, Category: Generic Models",,,,#808080,#000000,
Bi_Bottom_Color_Txt,Generic Models,"BI_TOP_COLOR_TXT, 38ccbdc5-caea-4d85-aa28-99f47183871b, TEXT, TPL_TRACKING, Top gradient color RGB [ISO 19650-1:2018]",,,,#808080,#000000,
